"Current","Previous","Estimate","Error"
"Alabama","Alabama","N/A","N/A"
"Alaska","Alabama",93,113
"Arizona","Alabama",833,587
"Arkansas","Alabama",691,573
"California","Alabama",2087,927
"Colorado","Alabama",2340,1681
"Connecticut","Alabama",101,120
"Delaware","Alabama",81,135
"District of Columbia ","Alabama",13,29
"Florida","Alabama",12635,3566
"Georgia","Alabama",18799,5015
"Hawaii","Alabama",1268,846
"Idaho","Alabama",263,259
"Illinois","Alabama",2823,1526
"Indiana","Alabama",1562,1293
"Iowa","Alabama",207,259
"Kansas","Alabama",434,310
"Kentucky","Alabama",925,441
"Louisiana","Alabama",3065,1401
"Maine","Alabama",634,541
"Maryland","Alabama",228,128
"Massachusetts","Alabama",1201,1083
"Michigan","Alabama",3527,2060
"Minnesota","Alabama",123,150
"Mississippi","Alabama",8922,2639
"Missouri","Alabama",1395,654
"Montana","Alabama",449,318
"Nebraska","Alabama",169,271
"Nevada","Alabama",280,330
"New Hampshire","Alabama",193,237
"New Jersey","Alabama",189,209
"New Mexico","Alabama",410,494
"New York","Alabama",1812,1002
"North Carolina","Alabama",5420,2338
"North Dakota","Alabama",97,125
"Ohio","Alabama",1567,705
"Oklahoma","Alabama",591,368
"Oregon","Alabama",758,1071
"Pennsylvania","Alabama",1332,684
"Rhode Island","Alabama",0,207
"South Carolina","Alabama",2999,1543
"South Dakota","Alabama",0,155
"Tennessee","Alabama",9326,2717
"Texas","Alabama",8747,2609
"Utah","Alabama",486,558
"Vermont","Alabama",0,145
"Virginia","Alabama",4930,2057
"Washington","Alabama",1821,1049
"West Virginia","Alabama",221,228
"Wisconsin","Alabama",708,761
"Wyoming","Alabama",51,62
"Puerto Rico","Alabama",35,59
"Alabama","Alaska",1771,1098
"Alaska","Alaska","N/A","N/A"
"Arizona","Alaska",5001,2214
"Arkansas","Alaska",560,669
"California","Alaska",7358,2501
"Colorado","Alaska",3191,1622
"Connecticut","Alaska",180,299
"Delaware","Alaska",329,544
"District of Columbia ","Alaska",135,217
"Florida","Alaska",7405,3412
"Georgia","Alaska",1079,765
"Hawaii","Alaska",844,670
"Idaho","Alaska",4510,2938
"Illinois","Alaska",4119,3153
"Indiana","Alaska",371,324
"Iowa","Alaska",967,651
"Kansas","Alaska",108,84
"Kentucky","Alaska",0,189
"Louisiana","Alaska",288,266
"Maine","Alaska",37,43
"Maryland","Alaska",671,493
"Massachusetts","Alaska",225,345
"Michigan","Alaska",3456,1793
"Minnesota","Alaska",893,619
"Mississippi","Alaska",117,102
"Missouri","Alaska",2043,2471
"Montana","Alaska",1118,921
"Nebraska","Alaska",721,785
"Nevada","Alaska",597,525
"New Hampshire","Alaska",0,184
"New Jersey","Alaska",1198,790
"New Mexico","Alaska",416,446
"New York","Alaska",6124,2270
"North Carolina","Alaska",3991,2185
"North Dakota","Alaska",393,365
"Ohio","Alaska",1637,1579
"Oklahoma","Alaska",1137,857
"Oregon","Alaska",1935,1062
"Pennsylvania","Alaska",759,664
"Rhode Island","Alaska",0,207
"South Carolina","Alaska",2421,1281
"South Dakota","Alaska",554,492
"Tennessee","Alaska",531,465
"Texas","Alaska",6670,2828
"Utah","Alaska",2151,1259
"Vermont","Alaska",580,441
"Virginia","Alaska",3202,1687
